method,dims,trustworthiness_k15,knn_preservation_k15,cluster_count,ari_vs_dims20_cluster,nmi_vs_dims20_cluster
UMAP,10,0.9653335788019488,0.30932524639878695,9,0.7676349694348663,0.8558449845860279
t-SNE,10,0.984841085647769,0.45673490017690166,9,0.7676349694348663,0.8558449845860279
UMAP,20,0.9349360791027446,0.21412686378569626,9,1,1
t-SNE,20,0.9618264701178201,0.3407884761182714,9,1,1
UMAP,30,0.9137260831181859,0.17207480414455395,8,0.689629514989427,0.7916955177639025
t-SNE,30,0.9382089682055326,0.2724286075309578,8,0.689629514989427,0.7916955177639025
UMAP,5,0.9706108737764622,0.3559767500631792,9,0.6234272848195735,0.7402109746841522
t-SNE,5,0.9914701782208454,0.5685367702805155,9,0.6234272848195735,0.7402109746841522
UMAP,50,0.8793850527974966,0.12822845590093507,7,0.6577989201323493,0.7392532308432119
t-SNE,50,0.9051460079216781,0.21582006570634318,7,0.6577989201323493,0.7392532308432119
